name,sku,available,purchase_option,price,cost_price,container_water_weight,container_sweets_weight,width,height,depth,weight,description,meta_description,brand,type[Butter],type[Caramel],type[Chewy],type[Chocolate],type[Dried Fruit],type[Fizzy],type[Gum],type[Gummy],type[Hard],type[Jelly],type[Liquorice],type[Lollipop],type[Mint],type[Nougat],type[Novelty],type[Nuts],type[Sherbet],type[Traditional],type[Toffee],type[Wrapped],flavour[Aniseed],flavour[Apple],flavour[Banana],flavour[Blackcurrant],flavour[Bubblegum],flavour[Cherry],flavour[Chocolate],flavour[Coconut],flavour[Cola],flavour[Cream],flavour[Custard],flavour[Mixed Fruit],flavour[Ginger],flavour[Lemon],flavour[Lime],flavour[Mint],flavour[Orange],flavour[Pear],flavour[Raspberry],flavour[Rhubarb],flavour[Salt],flavour[Sour],flavour[Strawberry],flavour[Toffee],flavour[Vanilla],flavour[Watermelon],colour[Black],colour[Blue],colour[Brown],colour[Green],colour[Orange],colour[Pink],colour[Purple],colour[Rainbow],colour[Red],colour[White],colour[Yellow],contains[Alcohol],contains[Gluten],contains[Lactose],contains[Nuts],contains[Sugar],contains[Gelatin],ingredients,serving_size,energy,protein,carbohydrates,fat
Candy Watches,HBG-PM-005-01,FALSE,2,0.2,0.1,919,0,,,,0,,Candy Watches only 20p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,
Caramac,HBG-CB-003-01,FALSE,0,0.6,0.4,,,160,50,3,0,Cocoa free bar of caramel.,Caramac bar only 60p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Nestle,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,1,,"Vegetable Fat, Sugar, Lactose, Sweetened Condensed Skimmed Milk, Skimmed Milk Powder, Butter, Emulsifier (Soya Lecithin), Treacle, Salt, Flavouring ",,174,1.8,16.9,11
Caramel Cup,HBG-NV-006-01,FALSE,3,0.0399,,,,,,,18,"Dark chocolate cup with layers of caramel flavoured mallow, a blend of caramel & milk, chocolate topping & chocolate shavings.",Caramel Cup chocolates only Ł3.99/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,1,1,,,,,,
Carré Croquant,HBG-NV-007-01,FALSE,3,0.0399,,,,,,,19,Praline with caramelised nuts.,Carré Croquant chocolates only Ł3.99/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,,,,,,
Cherry Cola Bottles,HBG-PM-006-01,FALSE,1,0.01,0.006,919,0,,,,,,Cherry Cola Bottles only 95p/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
Chewie Gum,HBG-SI-009-01,FALSE,0,0.3,0.2,,,100,30,25,0,Chewitts fruity bubblegum.,Chewie Gum sweets only 30p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,
Chewits,HBG-SI-010-01,FALSE,0,0.35,0.25,,,0,0,0,0,Small wrapped fruit chews.,Chewits sweets only 15p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Chewits,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
Chewits Pack (Blackcurrant),HBG-SI-011-02,FALSE,0,0.4,0.16,,,105,20,20,0,Small wrapped blackcurrant flavoured chews.,Blackcurrant Chewits sweets only 40p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Chewits,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,"Glucose Syrup, Sugar, Blackcurrant Juice, Hydrogenated Vegetable Oil, Lactic Acid (E270), Egg White, Hydrolysed Milk Protein, Undefined Flavouring, Anthocyanins (E163)",,,,,
Chewits Pack (Orange),HBG-SI-011-01,FALSE,0,0.4,0.16,,,105,20,20,0,Small wrapped orange flavoured chews.,Orange Chewits sweets only 40p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Chewits,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,,"Glucose Syrup, Sugar, Vegetable Oil, Orange Juice 3% (From Concentrate), Lactic Acid, Egg White, Citric Acid, Hydrolysed Rice Protein, Natural Flavouring, Colour: Paprika Extract",,,,,
Chewits Whip (Apple),HBG-SI-012-03,FALSE,0,0.15,0.06,,,693,4,4,17,Apple flavoured jelly whips.,"Apple Chewits Whip only 15p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!""),"""")",Chewits,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,"Glucose Syrup, Wheat Flour, Sugar, Starch, Apple Juice Concentrate 1.5%, Hydrogenated Vegetable Oil, Citric Acid, Flavouring, Glazing Agent (Shellac), Emulsifier (E471), Colours: E102, E133",,,,,
Chewits Whip (Cola),HBG-SI-012-01,FALSE,0,0.15,0.06,,,693,4,4,17,Cola flavoured jelly whips.,"Cola Chewits Whip only 15p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!""),"""")",Chewits,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,"Glucose Syrup, Wheat Flour, Sugar, Starch, Apple Juice Concentrate, Hydrogenated Vegetable Oil, Citric Acid, Flavouring, Glazing Agent (Shellac), Emulsifier (E471), Colours: E102, E133",,,,,
Chewits Whip (Strawberry),HBG-SI-012-02,FALSE,0,0.15,0.06,,,693,4,4,17,Strawberry flavoured jelly whips.,Strawberry Chewits Whip only 15p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Chewits,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,"Glucose Syrup, Wheat Flour, Sugar, Starch, Apple Juice Concentrate, Hydrogenated Vegetable Oil, Citric Acid, Flavouring, Glazing Agent (Shellac), Emulsifier (E471), Colours: E102, E133",,,,,
Chewits Xtreme (Sour Apple),HBG-SI-013-01,FALSE,0,0.4,0.16,,,180,35,10,0,Small wrapped sour apple flavoured chews.,"Sour Apple Chewits Xtreme bars only 40p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!""),"""")",Chewits,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,"Glucose Syrup, Sugar, Apple Juice 3% From Concentrate, Vegetable Oil, Citric Acid, Lactic Acid, Egg White, Hydrolysed Rice Protein, Flavouring, Colour: Sodium Copper Chlorophyllin, Curcumin",,,,,
Chewits Xtreme (Tutti Frutti),HBG-SI-013-02,FALSE,0,0.4,0.16,,,0,0,0,0,Small wrapped blackcurrant flavoured chews.,Blackcurrant Chewits Xtreme bars only 40p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Chewits,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,"Glucose Syrup, Sugar, Apple Juice 3% From Concentrate, Vegetable Oil, Citric Acid, Lactic Acid, Egg White, Hydrolysed Rice Protein, Flavouring, Colour: Anthocyanin",,,,,
Choc Pad 2.0,HBG-NV-008-01,FALSE,0,13.99,9.99,,,0,0,0,0,"An affordable and edible milk chocolate computer tablet! Whilst it may not have the technological features or specifications, it certainly does satisfy chocolate cravings. For technology fans and most importantly, chocolate lovers.","Chocolate iPad only Ł12.99. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!""),"""")",,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,,
Choc Phone 2.0,HBG-NV-008-02,FALSE,0,3.99,2.1,,,120,65,15,0,Decorated white chocolate smartphone.,"Chocolate iPhone only Ł3.99. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!""),"""")",,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,
Chocolate Buttons,HBG-PM-007-01,FALSE,1,0.01,0.006,919,0,,,,,,Chocolate Buttons only 95p/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,,
Chocolate Chess Set,HBG-NV-009-01,TRUE,0,5.99,3.75,,,290,145,40,140,Milk and white chocolate chess set.,Chocolate Chess Set only Ł5.99. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,"Milk Chocolate: Sugar, Whole Milk Powder, Cocoa Butter, Cocoa Mass, Spya Lecithin, Vanilla. White Chocolate: Sugar Cocoa Butter, Whole Milk Powder, Soya Lecithin, Vanilla. Milk Chocolate Contains: Cocoa Solids 31%, Milk Solids 20%. May contain nut traces.",,,,,
Chocolate Discs (Milk),HBG-PM-008-01,FALSE,2,0.1,0.05,919,0,,,,0,,Milk Chocolate Discs only 10p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
Chocolate Discs (White),HBG-PM-008-02,FALSE,2,0.1,0.5,919,0,,,,0,,White Chocolate Discs only 10p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,
Chocolate Frogs,HBG-PM-009-01,FALSE,2,0.1,0.5,919,0,,,,0,,Chocolate Frogs only 10p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,,
Chocolate Limes,HBG-JR-020-01,TRUE,1,0.01,0.006,919,496,,,,,A hard boiled shell of lime with a milk chocolate centre.,Chocolate Limes sweets only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,1,"Sugar, Glucose Syrup, Chocolate Flavouring (Sugar, Vegetable Oil, Whey Powder, Cocoa Powder, Emulsifier: Soya Lecithin, E322, E476, Salt), Citric Acid, Vegetable Oil, Colours: E102, E104, E142; Flavours: Chocolate Flavour",,,,,
Chocolate Limes (Sugar Free),HBG-JR-020-02,TRUE,1,0.012,0.008,919,496,,,,,A sugar free hard boiled shell of lime with a milk chocolate centre.,Sugar Free Chocolate Limes only Ł1.20/100g. traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,1,"Isomalt, Chocolate (5%): (Cocoa Mass, Maltitol, Cocoa Butter, Emulsifier: Soya Lecithin E322), Whole Milk Powder, Citric Acid, Colours: E102, E142; Flavours: Lime Oil",,,,,
Chocolate Mice,HBG-PM-010-01,FALSE,2,0.05,0.03,919,0,,,,0,,Chocolate Mice only 5p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,"Sugar, Vegetable, Fat, Whey, Powder, Wheat, Flour, Emulsifier, Soya, Lecithin, Flavourings",,,,,
Chocolate Skulls,HBG-PM-011-01,FALSE,2,0.05,0.03,919,0,,,,0,,Chocolate Skulls only 5p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
Chocolate Stem Ginger,HBG-JR-021-01,TRUE,1,0.017,0.01,919,711,,,,,Finest stem ginger covered in dark chocolate.,Chocolate Stem Ginger sweets only Ł1.50/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Sultans,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,"Ginger (65%), Plain Chocolate (35%), Sugar, Cocoa Mass, Cocoa Butter, Emulsifier (Soya Lecithin). Flavourings: Natural Vanilla, Plain Chocolate. Contains: Cocoa Solids 50% Minimum.",,,,,
Chocolate Stones,HBG-JR-022-01,TRUE,1,0.012,0.0085,919,750,,,,,"Milk chocolate covered in delicious white chocolate, then a coating of milk chocolate and finished with a hard crispy 'stone' shell.",Chocolate Stones sweets only Ł1.20/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,1,1,1,,1,"Sugar, Non-Hydrogenated Vegetable Fat, Whey Powder, Fat Reduced Cocoa Powder, Soya Lecithin, Flavouring, Modified Maize Starch, Colour: E153; E171; E172, Glazing Agents",,,,,
Chupa Chups Lollies,HBG-SI-014-01,FALSE,0,0.2,0.12,,,80,30,25,0,Hard fruity lollies.,Chupa Chup Lollies sweets only 20p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Chupa-Chups,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,"Sugar, Glucose Syrup, Whey Powder, Citric Acid, Malic Acid, Concentrated Fruit Puree (3%) (Apple, Cherry, Raspberry, Pineapple, Lime, Lemon, Strawberry, Peach, Banana, Orange, Blueberry, Blackberry), Flavouring, Inulin, Skimmed Milk Powder, Skimmed Milk Yoghurt Powder, Calcium Lactate, Salt, Barley Malt Extract, E162, E160C, E100, E163",,,,,
Clarinco Mint Creams,HBG-JR-023-01,TRUE,1,0.015,0.009,919,602,,,,,"Soft, sugary mint creams that are refreshing and melt in the mouth.",approx. Mint Creams sweets only Ł1.50/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Bassetts,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,"Sugar, Glucose Syrup, Water, Flavourings.",10,36.5,0,9.18,0
Clicker Pop,HBG-SI-015-01,FALSE,0,0.4,0.22,,,115,50,20,0,Novelty assorted fruit flavoured lolly with a noisy plastic top.,Clicker Pop sweets only 40p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,"Sugar, Glucose Syrup, Acidity Regulators (E270, E325), Flavourings, Colours: E163, E100",,,,,
Cloves,HBG-JR-024-01,FALSE,1,0.01,0.0065,919,0,,,,,Hard Aniseed Flavoured boiled sweet,Cloves sweets only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,,,,,
Coconut Ice,HBG-JR-025-01,FALSE,1,0.013,0.008,919,0,,,,,,Coconut Ice sweets only Ł1.20/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,,1,,,,,,
Coconut Ice Bar,HBG-SI-016-01,FALSE,0,1.25,0.8,,,0,0,0,0,,Coconut Ice Bar sweets only Ł1.25. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
Coconut Mushrooms,HBG-JR-026-01,FALSE,1,0.01,0.006,919,0,,,,,"Traditional chewy mushroom sweets coated in desiccated coconut, with a white fondant stalk.",Coconut Mushrooms only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,1,1,1,"Sugar, Glucose Syrup, Coconut (15%) Cornflour, Beef Gelatine, Vegetable Oil, Cocoa Powder. Colours: Caramel",,,,,
Coconut Rolls,HBG-JR-027-01,TRUE,1,0.002,0.0012,919,655,,,,,Pink and yellow coconut candy rolls with a small tube of liquorice through the centre.,Coconut Rolls only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,1,1,1,1,1,"Sugar, Glucose Syrup, Coconut, Treacle, Wheat Flour, Vegetable Oil, Humectant (Glycerol) Gelatine, Liquorice Extract, Cocoa Powder. Flavours: Apple Juice Concentrate, Hibiscus, Spinach, Nettle",,,,,
Cola Bottles (Fizzy Cola Bottles),HBG-JR-028-01,TRUE,1,0.01,0.005,919,703,,,,,Fizzy cola flavoured bottle gums.,Fizzy Cola Bottles only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,,
Cola Bottles (Sugar Free Cola Bottles),HBG-JR-028-02,TRUE,1,0.012,0.008,919,866,,,,,Sugar free fizzy cola flavoured bottle gums.,Sugar Free Cola Bottles only Ł1.20/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,,,,,,
Coltsfoot Rock,HBG-JR-029-01,FALSE,1,0.012,0.007,919,459,,,,,"Sticks of brittle rock containing coltsfoot, a herb which comes from a plant that tastes similar to aniseed.",Coltsfoot Rock only Ł1.20/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,"Sugar, Liquorice Extract, Gelatine, Flavouring: Coltsfoot Extract",,,,,
Coralie Soft Dark Ganache,HBG-NV-010-01,FALSE,3,0.0399,,,,,,,16,Soft dark ganache.,Coralie Soft Dark Ganache chocolates only Ł3.99/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,1,1,,,,,,
Cough Candy Twists,HBG-JR-030-01,FALSE,1,0.01,0.0065,919,0,,,,,Clove-flavoured boiled sweets.,Cough Candy Twists only Ł1.20/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,,,,,,
Cream rock,HBG-JR-031-01,FALSE,1,0.012,0.0055,919,712,,,,,A soft centre wrapped in liquorice.,Cream Rock Liquorice only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,1,1,1,"Sugar, Molasses, Wheat Flour, Wheat Starch, Glucose Syrup, Vegetable Fat, Gelatine, Dextrose, Liquorice Extract, Citric Acid, Lactic Acid, Glazing Agents: Vegetable Oil, Colours: E150C, E160A, E120",,,,,
Crčme Brulée Pyramid,HBG-NV-011-01,FALSE,3,0.0399,,,,,,,12,,Crčme Brulée Pyramid chocolates only Ł3.99/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,1,1,,,,,,
Crystal Fruits,HBG-JR-032-01,FALSE,1,0.01,0.005,919,0,,,,,Hard boiled fruit sweets.,Crystal Fruits only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Kingsway,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,1,1,1,,1,,,,,,
Crystal liquorice,HBG-JR-034-01,FALSE,1,0.01,0.006,919,0,,,,,,Crystal Liquorice only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,,,,,
Crystals (Blue),HBG-JR-033-01,FALSE,1,0.01,0.005,919,845,,,,,Blue crystal sherbet.,Blue Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,,,,
Crystals (Bubblegum),HBG-JR-033-02,FALSE,1,0.01,0.005,919,845,,,,,Bubblegum flavoured crystal sherbet.,Bubblegum Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,,,,
Crystals (Coal Dust),HBG-JR-033-03,FALSE,1,0.01,0.005,919,845,,,,,Black crystal sherbet.,Coal Dust Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,1,,,,,,
Crystals (Cream Soda),HBG-JR-033-04,FALSE,1,0.01,0.005,919,845,,,,,Cream soda flavoured crystal sherbet.,Cream Soda Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,1,,,,,,
Crystals (Lemon),HBG-JR-033-05,FALSE,1,0.01,0.005,919,845,,,,,Lemon flavoured crystal sherbet.,Lemon Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,,,,
Crystals (Orange),HBG-JR-033-06,FALSE,1,0.01,0.005,919,845,,,,,Orange flavoured crystal sherbet.,Orange Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,,,
Crystals (Strawberry),HBG-JR-033-07,FALSE,1,0.01,0.005,919,0,,,,,Strawberry flavoured crystal sherbet.,Strawberry Crystals only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,1,1,1,,,,,,
Cubes (Cola),HBG-JR-035-01,TRUE,1,0.01,0.005,919,761,,,,,Cola flavoured cube shaped boiled sweets.,Cola Cubes sweets only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,"Sugar, Glucose, Citric Acid, Flavouring, Colours: E104, E120",,,,,
Cubes (Pineapple),HBG-JR-035-02,FALSE,1,0.01,0.006,919,761,,,,,Pineapple flavoured cube shaped boiled sweets.,Pineapple Cubes sweets only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,"Sugar, Glucose, Citric Acid, Flavouring, Colour: E104",,,,,
Cubes (Sour Apple),HBG-JR-035-03,FALSE,1,0.01,0.006,919,761,,,,,Crunchy sour apple flavoured cubes which are succulent and will have you sucking your cheeks in!,Sour Apple Cubes sweets only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,"Sugar, Glucose, Citric Acid, Flavouring, Colours: E102, E104, E142",,,,,
Curly Wurly,HBG-CB-016-01,FALSE,0,0.3,0.2,,,222,30,8,28,Chewy caramel wrapped in Cadbury’s milk chocolate.,Curly Wurly only 20p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Cadburys,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,"Caramel (69%) (Glucose Syrup, Sweetened Condensed Skimmed Milk, Sugar, Vegetable Oil, Emulsifiers: E471, Soya Lecithin; Salt, Flavourings), Milk Chocolate (Sugar, Dried Whole Milk, Cocoa Butter, Cocoa Mass, Dried Whey, Vegetable Fat, Emulsifiers: E442, E476; Flavourings).",100,450,3.4,69.2,17.4
